Section,Question No,Question
General Information,1.2,Vessel’s IMO Number: (M)
General Information,1.3,Flag: (M)
General Information,1.4,Date the vessel was delivered: (M)
General Information,1.5,"Date of layup, if any greater than three months since vessel’s delivery: N/A ☐"
General Information,1.6,Maximum assigned deadweight (metric tonnes):
General Information,1.7,Vessel type: (M)
General Information,1.8,Hull type: (M)
General Information,1.9,Vessel’s operation at the time of inspection:
General Information,1.10,Name of cargo being handled: N/A
General Information,1.11,Details of Port State Control inspection history for the last 12 months: (M) N/A
General Information,1.12,Name of classification society: (M)
General Information,1.13,Expiry date of class certificate: (M)
General Information,1.14,Date the last Special Survey was completed: (M) N/A
General Information,1.15,Date of last routine dry dock: (M) N/A
General Information,1.16,Date of unscheduled repair / and or dry dock: (M) N/A
General Information,1.17,EEDI: (M) N/A
General Information,1.18,Date of last Flag inspection: (M) N/A
General Information,1.19,Name of the vessel’s manager: (M)
General Information,1.20,Date the current vessel’s manager took over the vessel:
General Information,1.21,Dates of last two visits of the ship’s manager: (M) 1st Visit: N/A 2nd Visit: N/A
General Information,1.22,Name of the Rightship inspector:
General Information,1.23,Port of inspection: (V)
General Information,1.24,Date and time Rightship Inspector arrived at the vessel: (V)
General Information,1.25,Date and time Rightship inspector left the vessel: (V)
Certification and Personnel Management,2.1,"Is the latest Class Survey Status available and are all statutory certificates listed in the Class Survey Status valid, and is the vessel free of condition of class or significant recommendations? (M)"
Certification and Personnel Management,2.2,Has the vessel been provided with certificates of financial security for seafarers? (M)
Certification and Personnel Management,2.3,Can all crew communicate effectively in the working language of the ship? (V)
Certification and Personnel Management,2.4,Is the vessel’s manning in compliance with the Safe Manning Certificate? (V)
Certification and Personnel Management,2.5,Do all personnel maintain rest period/work hours and are the rest hours in compliance with STCW or MLC requirements? (V)
Certification and Personnel Management,2.6,Has the Master been provided with relevant ship handling training? (V)
Certification and Personnel Management,2.7,"Are those officers who have immediate responsibility for carrying and care of dangerous and hazardous substances in solid form in bulk, in possession of specialised training as appropriate to the type of cargo being carried? (V)"
Certification and Personnel Management,2.8,"Are those officers who have immediate responsibility for carrying and care of dangerous and hazardous substances in packaged form, in possession of specialised training as appropriate to the type of cargo being carried? (V)"
Certification and Personnel Management,2.9,Has an SMS policy and procedure been established to enforce the STCW Convention and Code requirements for the purpose of preventing drug and alcohol abuse? (V & M)
Certification and Personnel Management,2.10,"Are the limits of blood and breath alcohol contents in the drug and alcohol policy equal to, or less than the STCW mandatory alcohol limit? (V&M)"
Certification and Personnel Management,2.11,When was the date of the last recorded unannounced on-board group alcohol test? (M)
