RISK PROFILING OF SHIPS,,,,,,,,,,,,,,
HULL & OUTFITTINGS,,,,,,,,,WEIGHTAGE,RATING,SCORE,REMARKS,,
CERTIFICATES AND DOCUMENTATION,,,,,,,,,5%,,0.6,"Rating of 1 to 5 
1 - worst 
5 - best 
If NIL deficiency against each item, rating to be marked as 5
SCORE - is a percentage of the weightage",,
Are all certificates valid (including calibration certs as per AD-04),,,,,,,,,,,,All trading certs to be valid and correct,,
"Any major surveys / CSM items due next 3 months. If any overdue, to be dealt with immediately",,,,,,,,,,5,,Rating - 5 if no surveys overdue,,
Any COCs on vessel. Check due dates,,,,,,,,,,4,,Rating - 4 if any COC,,
"Review of last Internal Audit/PSC/FSI/Vetting Reports. Any remarks/observations outstanding? If closed, is the closure effective?",,,,,,,,,,,,Rating - 3 if any such findings are outstanding,,
Contact point list of SOPEP is updated. ,,,,,,,,,,,,Rating - 3 if not updated,,
All ITU publications provided onboard are up-to-date. ,,,,,,,,,,,,Rating - 3 if not updated,,
Latest nautical publications are available on board.,,,,,,,,,,3,,Rating - 3 if not updated,,
Endorsement by Flag State of crew certificate are valid. ,,,,,,,,,,,,"Rating- 3 if crew certs are expired/not endorsed by Flag. Due to the ongoing pandemic, seafarers certs might have some issues w.r.t validity and extension.",,
Any past PSC detentions/SIRE refusals,,,,,,,,,,,,Rating -1 in case vessel has been detained by PSC or failed a SIRE inspection within past 1 year,,
,,,,,,,,,,,,,,
ACCOMMODATION/CREW WELFARE / MLC,,,,,,,,,10%,,0.1,"Always a concern area across PSC regimes. All these points are important and high risk
(even one deficiency on MLC gives lowest possible rating)",,
"
Seafarer Employment Agreement (SEA) is valid within the contract period. The contract period of SEA is checked to be in line with company procedure.  ",,,,,,,,,,,,Rating - 5 if all contracts valid; Rank/pay are commensurate and no overdue relief. Rating 1 in case of any non-compliance with these criteria,,
Wage is paid in monthly interval in accordance with SEA/CBA. ,,,,,,,,,,,,Rating - 1 in case of even single case of overdue wages,,
Condition of Accomodation AC / heating,,,,,,,,,,1,,Rating - 5 if cabin temperature can be maintained at 24 to 28 deg C,,
Availability of normal temp/hot water at all decks,,,,,,,,,,,,Rating - 1 in case of hot water not available at all decks,,
Condition of provisions/potable fresh water,,,,,,,,,,,,Rating - 1 in case of insufficient/poor quality provisions ; Storage area not arranged ; poor quality of fresh water,,
Record of potable water testing,,,,,,,,,,,,Rating -1 in case shore lab analysis of fresh water in past one year is not available,,
"Housekeeping and hygiene in galley and common spaces in accommodation. Galley floor tiles in good condition, no leaking taps.",,,,,,,,,,,,Rating - 1 in case of non-compliance with any of these criteria,,
"Fire doors closing properly. No stoppers or hold-backs in place to keep doors open, (including those in the galley, store rooms, mess rooms)",,,,,,,,,,,,Rating - 1 in case of non-compliance with any of these criteria,,
Cleanliness of common toilets on various decks,,,,,,,,,,,,"Rating -1 in case of dirty common toilets, broken/leaking fittings, damaged tiles",,
"Cleanliness of individual cabins, including toilets",,,,,,,,,,,,"Rating -1 in case cabins not arranged properly, dirty toilets, broken/leaking fittings, missing shower curtains, damaged tiles",,
"Cleanliness of Hospital, Record and availability of medicines, condition of Medical oxygen and equipment. Test of call alarm.",,,,,,,,,,,,Rating -1 in case of non-compliance with any of these criteria,,
Crew contracts - crew member must be performing duties for which the contract is signed. For e.g - a person having signed a contract as wiper cannot be shown performing motorman duty even if he has a watchkeeping certificate.,,,,,,,,,,,,Rating -1 in case of a single non-compliance with this criterion,,
,,,,,,,,,,,,,,
LSA / FFA Equipment and Systems,,,,,,,,,10%,,0,"LSA/FFA deficiencies are to be considered high risk till they are suitably detal with. Operating condition of emergency equipment and spares, condition of LSA items and test records. Familiarity with equipment demonstrated by the operator. Smartness of drills. This in a nutshell sums up the emergency preparedness element of the SMS, perhaps the most important check by PSC.",,
"Fixed fire fighting system for ER and pump room last tested/next testing due. If CO2 system, check validity of cylinder weightment and pressure testing dates ; check that flexible hoses for CO2 system have been renewed at 10 years interval.",,,,,,,,,,,,Rating - 3 in case all test certs and records are not available.,,
"Fixed fire fighting system for deck on tankers last tested/next testing due. If foam system, check foam type and analysis reports , level of compound in foam tank (reqd qty of foam compound as per calculations in Foam system manual to be displayed at tank. Level corresponding to this approved quantity to be marked on level gauge. ",,,,,,,,,,,,Rating - 3 in case all test certs and records are not available. Rating -1 in case foam compound is of wrong type or if quantity less than required.,,
Fixed deck water spray system for gas carriers and IGF code vessels,,,,,,,,,,,,"Rating - 3 in case of any deficiency such as valves tight to operate, spreader nozzles not clear, leakage from pumps. ",,
Fixed gas detection system on IGF code vessels for Fuel Preparation Room on IGF Code vessels,,,,,,,,,,,,Rating - 1 in case of any deficiency on the gas detection system ,,
Fixed fire fighting system for paint store/Sample locker,,,,,,,,,,,,Rating - 1 in case of any deficiency on the fixed fire fighting system ,,
