Code,Title,Description,Severity,Classification
00001,Certificates & Documentation,,,Process
00011,Certificates & Documentation - Ship Certificate,,,Process
01101,Cargo ship safety equipment (including exemption),"(SOLAS) Required certificate for firefighting, lifesaving, etc. If missing/expired, the ship is illegal to sail since critical safety equipment compliance is unverified. PSC usually detains ships lacking this cert, as it undermines multiple safety aspects.",9,Process
01102,Cargo ship safety construction (including exempt.),(SOLAS) Verifies hull/structural integrity standards. Absence suggests structural components or watertight integrity might not meet SOLAS – a detainable breach of seaworthiness.,9,Process
01103,Passenger ship safety (including exemption),"(SOLAS) Mandatory for passenger vessels; without it, the ship cannot carry passengers legally. PSC would prevent operation due to the heightened risk to many lives on board.",9,Process
01104,Cargo ship safety radio (including exemption),(SOLAS) Ensures GMDSS radio outfit is as required. Missing this cert means long-range distress communications might be compromised – very serious for emergency response. Likely detention until an interim certificate or waiver is obtained.,8,Process
01105,Cargo ship safety (including exemption),"(SOLAS) Integrated certificate (on some ships) covering construction, equipment, radio. Its absence is effectively the same as multiple major certs missing, hence a ship is considered unsafe to proceed.",9,Process
01106,Document of compliance (DoC/ ISM),"(ISM Code) Company’s ISM certification. If a vessel’s managing company lacks a valid DoC, the ship’s whole Safety Management System is not recognized – a major non-compliance. Vessels have been detained or even banned from departing without a valid DoC/ISM framewor​maritime-mutual.com】.",9,Process
01107,Safety management certificate (SMC/ ISM),"(ISM Code) Ship-specific ISM certificate. A missing or invalid SMC usually results in immediate detention, as the ship is deemed not under a compliant safety management regime. ISM failures are the top cause of detentions globall​maritime-mutual.com】. Score 10 reflects that lack of SMC implies systematic safety oversights.",10,Process
01108,Load lines (including Exemption),"(Load Line Convention) Without a valid Load Line certificate, there’s no assurance the ship’s freeboard and loading are safe. Overloading risk is high. PSC treats this as detainable – no Load Line cert = no sail.",9,Process
01109,Decision-support system for masters on pass. ships,"(SOLAS V) Required for passenger ships to assist in emergencies (often a specialized software/manual). If not provided, master’s ability to make optimal decisions in crises (like damage control) is reduced. It’s a significant safety aid; its absence is a moderate-to-high concern.",7,Process
01110,Authorization for grain carriage,"(Grain Code) A document certifying the ship’s stability arrangements for bulk grain. Without it, carrying grain can lead to severe stability issues (grain shift). PSC will insist on this authorization (or approved grain stability data) before allowing grain loading – a major concern but rectifiable by proper loading plan or exemptions.",7,Process
01111,Liquefied gases in bulk (CoF/GC Code),"(Gas Carrier Code) Certifies an LPG/LNG carrier meets design/equipment standards for hazardous gases. Missing this is very severe – the ship should not carry such cargo. Likely detention until a valid CoF is produced or cargo offloaded, due to extreme fire/explosion risks.",8,Process
01112,Liquefied gases in bulk (ICoF/IGC Code),(Modern gas carriers under IGC Code) – Same severity reasoning as 01111: essential for legal carriage of LNG/LPG under current standards.,8,Process
01113,Minimum safe manning document,"(SOLAS V) States the minimum crew numbers/qualifications. If not on board, or if manning is below that level, the ship is legally undermanned – a detainable situation. PSC views undermanning as directly increasing accident risk (fatigue, emergency response capability); ships have been detained until additional crew joi​crclass.org】.",9,Process
01114,Dangerous chemicals in bulk (CoF/BCH Code),(Old Bulk Chemical Code) Certificate for older chemical tankers. Absence means the vessel’s structure/equipment for toxic or reactive chemicals isn’t verified – an unacceptable situation. Would be treated on par with other fitness certs (detention or no loading of such cargo).,8,Process
01115,Dangerous chemicals in bulk (ICoF/IBC Code),(IBC Code) Certificate for modern chemical tankers. Similarly critical – without it the ship should not transport IMO Class chemicals. Non-compliance would result in detention or cargo refusal due to pollution and safety hazards.,8,Process
01116,Operational limitations for passenger ships,"Some passenger ships have explicit operational limits (e.g., wave height, area). This entry implies documentation of those limits. If missing, the vessel might unknowingly operate beyond safe conditions. It’s a moderate issue; PSC will require clarity on any restrictions to ensure compliance.",6,Process
01117,International Oil Pollution Prevention (IOPP),"(MARPOL Annex I) Proves ship has oil pollution prevention equipment (e.g. oily water separator) and procedures. No IOPP = potential illegal oil discharge. PSC treats it as highly detainable (ship cannot legally carry oil/fuel without it). In effect, a ship without IOPP is a huge pollution risk and often targeted for detailed exa​safety4sea.com】.",9,Process
01118,Pollution prevention by noxious liquid sub in bulk,"(MARPOL Annex II) Required for chemical tankers carrying noxious liquids (categories X, Y, Z). Missing NLS cert is similar to missing IOPP but for chemicals – very serious (ship shouldn’t be carrying those cargoes). PSC likely detains or restricts cargo operations until certificated.",8,Process
01119,International Sewage Pollution Prevention Cert.,"(MARPOL Annex IV) Required for ships >400 GT or >15 persons for sewage treatment/holding compliance. If absent, the ship technically shouldn’t discharge sewage at sea. It’s a moderate environmental cert; PSC will cite it and likely require one before departure, but not usually immediate detention unless the ship is actively found polluting.",6,Process
01120,Statement of Compliance CAS,"(MARPOL Annex I) CAS applies to older single-hull tankers to assess structural condition. If a tanker required to undergo CAS lacks this Statement, it indicates the vessel may be too old/risky to carry heavy oil. PSC in port states that enforce CAS will detain or ban such a tanke​file-rqgsxjhhjrkkp4ut9spfnu】, considering it high severity due to heightened spill risk in aging hulls.",7,Process
01121,Interim Statement of Compliance CAS,"As above, if only an interim compliance is in effect (perhaps during the CAS process). If even that is missing when needed, it’s treated similarly – the tanker’s continued operation is in question. High severity for older tanker operation.",7,Process
01122,International ship security certificate,"(SOLAS XI-2/ISPS) Indicates ship meets ISPS security standards. Absence means the ship has not been audited for security measures – a serious security breach. Many ports will refuse entry or detain a vessel without an ISSC, given global security post-9/11. Severity is very high (the ship might be considered a security risk with no valid ISSC).",9,Process
01123,Continuous synopsis record,"(SOLAS XI-1) The CSR is a history of the ship’s identity and ownership. If missing or not updated, it’s a documentation lapse that could hinder traceability (important for security and safety history). PSC will require it to be updated. It’s moderately important legally but has no direct immediate safety impact – hence a lower score.",5,Process
01124,International Air Pollution Prevention Cert,"(MARPOL Annex VI) Certifies compliance with engine NOx limits, fuel sulfur limits, etc. Without IAPP, the ship cannot prove it meets air emission rules (e.g., might be burning high-sulfur fuel illegally). PSC sees missing IAPP as a serious environmental non-compliance; in emission control areas this can lead to detention/fine​safety4sea.com】. We score it high – essential for legal operation post-2020 sulfur cap.",8,Process
01125,Engine International Air Pollution Prevention Cert,"(MARPOL Annex VI) Individual engines >130 kW need EIAPP certificates (NOx compliance). Missing certs mean the engine may not meet NOx standards. PSC will flag it – the ship might be allowed to sail short term but must rectify with the flag State. It’s a significant compliance issue, especially in NOx Emission Control Areas.",7,Process
01126,Document of compliance dangerous goods,"(SOLAS II-2/19) If a ship (not a tanker) carries packaged dangerous goods, it needs a DoC (indicating fire protection arrangements, etc., are in place). Without it, carrying DG is unsafe and not permitted. PSC would likely detain or forbid loading of dangerous goods until the ship is properly certified – a high safety risk if not compliant (e.g., insufficient fire protection for DG cargo).",8,Process
01127,Special purpose ship safety,"(SPS Code) For vessels like research ships, cable layers, etc., carrying special personnel. Missing this cert means those vessels might not have implemented additional safety measures for people on board. PSC treats it seriously for those types – moderate-high severity (not as common, but important in that niche).",7,Process
01128,High speed craft safety and permit to operate,"(HSC Code) High-Speed Crafts (fast ferries, etc.) are high-risk by design. Without an HSC Safety Certificate or valid Permit to Operate, a high-speed craft is not allowed to operate at high speeds or carry passengers. PSC would detain it immediately – the margins for error on HSC are low, so every required certificate must be in force.",9,Process
01129,Mobile offshore drilling unit safety,"(MODU Code) For drilling rigs or vessels – ensures they meet special safety standards. If a MODU lacks this, it shouldn’t operate; PSC (or coastal state) would very likely shut down its operation until certified, due to high potential hazards (blowouts, etc.). High severity in offshore context.",8,Process
01130,INF certificate of fitness,"(INF Code) Required for ships carrying category I, II, III nuclear materials. If missing, such extremely hazardous cargoes are being carried without special precautions – unacceptable. PSC would detain or refuse entry for the ship with INF cargo but no certificate. Very high severity (nuclear material incidents have huge consequences).",8,Process
01131,International AFS certificate *),"(AFS Convention) Certifies the ship’s hull paint doesn’t contain banned toxins (like TBT). If missing, it’s a regulatory issue but not an acute danger – PSC will typically request the cert or a survey. (If it suggests the ship might still have TBT paint, the vessel might be required to renew coating). Low-moderate severity.",5,Process
01132,Tonnage certificate,(TONNAGE 1969) Needed primarily for port fees and to determine convention applicability. Missing it doesn’t directly affect safety; PSC will ask for it to be produced. Minor severity (though legally required).,4,Process
01133,Civil liability for oil pollution damage cert.,"(CLC Convention) This cert (often from P&I insurer) shows the ship has insurance for oil spill liability. If missing (for tankers carrying >2000 tons of oil), the ship cannot enter many ports (no insurance = no entry by law). PSC will detain or deny entry because any spill would otherwise have no guaranteed compensation. High severity from a regulatory perspective (financial security), though not a physical safety issue – but effectively, ship is not allowed to operate without it.",7,Process
01134,Polar ship certificate,"(Polar Code) Required for ships operating in polar waters, outlining ice class and polar survival arrangements. If a ship is trading in Arctic/Antarctic without this, it means it may not be prepared for polar hazards (ice navigation, cold safety). PSC (or the polar coastal state) would likely detain or restrict it from polar routes until compliant. High severity for vessels actually in those regions (risk of oil spills or casualty in sensitive polar environment).",8,Process
01135,Document for carriage of dangerous goods,"(Possible duplicate of 01126?) – Ensures vessel’s arrangements for DG (ventilation, detection) are adequate. Same rationale: essential for legal carriage of dangerous cargo; without it, carrying DG is a major safety hazard and not permitted.",8,Process
01136,Ballast Water Management Certificate,"(BWM Convention) Indicates compliance with ballast water treatment standards to prevent invasive species. If missing, the ship might be using untreated ballast – an environmental violation. PSC increasingly enforces this; some countries detain ships or deny ballast discharge if no valid certificate. Moderate-high severity (environmental risk – not immediate like a spill, but significant ecological harm potential; also a legal must-have now).",7,Process
01137,Civil liability for Bunker oil pollution damage cert,"(Bunkers Convention) Similar to CLC but for fuel oil on all ships >1000 GT – proof of insurance for bunker spills. Missing it is a compliance gap; many ports will not let a ship sail without it. PSC will detain until one is provided. Moderately high severity due to legal/financial implications (less than CLC for tankers, but still important as bunker spills can be costly).",6,Process
01138,International Energy Efficiency Cert,"(MARPOL Annex VI) Confirms the ship has a verified Energy Efficiency Design Index (EEDI) or a Ship Energy Efficiency Management Plan (SEEMP). If missing, it’s an administrative lapse in environmental documentation. PSC will note it but it doesn’t pose immediate danger. Low severity – need to obtain the certificate to satisfy Annex VI.",4,Process
01139,Maritime Labour Certificate,"(MLC 2006) Indicates the ship passed inspection of crew living/working conditions. If a required MLC certificate is absent or expired on a ship to which MLC applies, it signals potentially serious breaches of crew welfare. PSC can detain ships for MLC non-compliance especially if crew are found in bad conditions (and MLC cert missing reinforces that possibility). High severity due to legal requirements and the fact that 10% of detainable deficiencies relate to MLC issue​gard.no】.",8,Process
01140,Declaration of Maritime Labour Compliance (Part I and II),"(MLC 2006) Accompanies the MLC certificate detailing how the ship meets MLC standards. If missing, the ship’s compliance regimen is unclear. PSC treats it as a significant deficiency – it must be on board along with the certificate. Not having it could contribute to detention if other crew welfare problems are observed.",7,Process
01199,Other (certificates),Any other certificate/documentation issue not specified. Severity varies with the document’s importance. Generally a mid-level score – it could range from trivial (e.g. a missing crew list) to critical (a certificate not listed elsewhere). PSC will evaluate case-by-case.,5,Process
00012,Certificates & Documentation - Crew Certificate,,,Process
01201,Certificates for master and officers,"(STCW) If the Master or any officer required to hold a license (deck or engine) lacks a valid certificate or flag endorsement, the ship is not legally manned. This is one of the gravest deficiencies – e.g., an unlicensed Master/OOW is an accident waiting to happen. PSC will detain the ship until a properly certified officer is on board. (It’s both a safety issue and a violation of STCW and flag state law.)",10,Process
01202,Certificate for rating for watchkeeping,"(STCW) Ratings on bridge/engine watch (able seafarer, oiler, etc.) need watchkeeping certificates. If those are missing, watch teams may be unqualified, raising collision/grounding risks especially if they need to take over in emergency. PSC treats it seriously – likely requiring crew change or additional training documentation. High, though not as high as for officers, since officers oversee watches.",8,Process
01203,Certificates for radio personnel,"(STCW IV) The person in charge of radio communications (often an officer with GMDSS GOC) must be certified. Without a GMDSS operator license, distress communication may be mishandled. PSC will likely detain unless another certified person can fulfill the role – a major safety and SOLAS compliance issue.",8,Process
01204,Certificate for personnel on tankers,"(STCW V/1) Officers and key crew on oil/chemical/gas tankers need special tanker safety training endorsements. Missing these means crew might not know how to handle cargo emergencies (fire, toxicity). For example, no “Tanker Familiarization” for a chief officer carrying chemicals is very serious. PSC can detain or at least bar the vessel from loading until compliant, considering the heightened fire/explosion risk.",7,Process
01205,Certificate for personnel on fast rescue boats,"(STCW VI) Crew designated to operate fast rescue boats must be certified. If those certificates are missing, the ship may not be able to conduct effective man overboard rescues. It’s a safety issue (especially on passenger ships or tankers required to have FRBs). PSC will require the crew get certified or refrain from tasks beyond capability. Moderate severity (critical in an MOB event, but only specific crew affected).",6,Process
01206,Certificate for advanced fire-fighting,"(STCW VI) Most officers are required to have Advanced Fire-Fighting training. If an officer (especially Chief Officer or Second Engineer who lead fire teams) lacks this, it weakens onboard emergency response. PSC will cite it and expect immediate rectification (could even detain if multiple officers are missing it, as that indicates non-compliance in safe manning). Moderate severity per individual, higher if systemic.",6,Process
