Code,Title,Description,Paris MOU Recommendations,AMSA Trends,AMSA Recommendations,Tokyo MOU Trends,Tokyo MOU Recommendations,Paris MOU Trends,Mapped Questions-Internal,Mapped Questions-External
1,Certificates & Documentation,,,,,,,,Are all certificates valid (including calibration certs as per AD-04)?,
11,Certificates & Documentation - Ship Certificate,,,,,,,,Are all certificates valid (including calibration certs as per AD-04)?,Are the certificates of mooring lines and mooring tails available on board? (V & M)?
1101,Cargo ship safety equipment (including exemption),"(SOLAS) Required certificate for firefighting, lifesaving, etc. If missing/expired, the ship is illegal to sail since critical safety equipment compliance is unverified. PSC usually detains ships lacking this cert, as it undermines multiple safety aspects.",,,,,,,,Has the vessel been provided with ship-specific fire safety and SOLAS training manuals and operational booklets? (V)? # Is any special emergency equipment required by IMSBC on board(as applicable) and in a state of readiness during the cargo operation? (V)? # Is there a sufficient quantity of reserve cargo- securing devices on board? (V)?
1102,Cargo ship safety construction (including exempt.),(SOLAS) Verifies hull/structural integrity standards. Absence suggests structural components or watertight integrity might not meet SOLAS – a detainable breach of seaworthiness.,,,,,,,,Is the vessel free of any apparent structural defects? (V)?
1103,Passenger ship safety (including exemption),"(SOLAS) Mandatory for passenger vessels; without it, the ship cannot carry passengers legally. PSC would prevent operation due to the heightened risk to many lives on board.",,,,,,,,
1104,Cargo ship safety radio (including exemption),(SOLAS) Ensures GMDSS radio outfit is as required. Missing this cert means long-range distress communications might be compromised – very serious for emergency response. Likely detention until an interim certificate or waiver is obtained.,,,,,,,,"Is the ECDIS of an approved type and does it meet the SOLAS requirement? # Is the vessel equipped with sufficient intrinsically safe portable radios for use inside the tunnel and, are the radio ‘dead zones’ within tunnel identified and safeguards put in place? (V)? # Is communication equipment, listed in the Record of Equipment attached to the Safety Radio Certificate or Safety Certificate (Form R or Form C), in good condition and has the GMDSS Logbook (the Radio Log) been maintained correctly and are daily, weekly and monthly tests being carried out? (V)?"
1105,Cargo ship safety (including exemption),"(SOLAS) Integrated certificate (on some ships) covering construction, equipment, radio. Its absence is effectively the same as multiple major certs missing, hence a ship is considered unsafe to proceed.",,,,,,,,
1106,Document of compliance (DoC/ ISM),"(ISM Code) Company’s ISM certification. If a vessel’s managing company lacks a valid DoC, the ship’s whole Safety Management System is not recognized – a major non-compliance. Vessels have been detained or even banned from departing without a valid DoC/ISM framewor​maritime-mutual.com】.","Ensure a valid copy of the company’s Document of Compliance (DoC) is kept onboard. The copy does not need to be certified, but the DoC must be valid and appropriate for the ship type; ensure that the DoC is not expired or withdrawn and that annual verification endorsements are up to date. The ship type listed on the Safety Management Certificate (SMC) must also be listed on the DoC and the company’s name, address and certificate number must match. If minor typographical errors exist, correct them promptly; if the DoC is expired or withdrawn, the ship should not sail until a new DoC is issued.",Marine Order 504 changes,"Review and update the safety management system (SMS) to comply with revised Marine Order 504; incorporate simplified risk assessments, fatigue management, drug and alcohol policy, cargo & dangerous goods procedures, operational procedures for key vessel operations, emergency plans (including loss of propulsion and fuel/oil spills), updated master and designated person responsibilities, assembly station requirements, and record of vessel modifications requiring stability risk assessmenthttps://www.amsa.gov.au/news-community/news-and-media-releases/new-safety-management-system-requirements-now-effect",,,,All ITU publications provided onboard are up-to-date.? # All Nautical Publications updated and available including USCG 33 & 46 CFR; USCG Navigation Rules - International - Inland?,"Has an SMS policy and procedure been established to enforce the STCW Convention and Code requirements for the purpose of preventing drug and alcohol abuse? (V & M)? # Has the vessel’s manager established a documented system for personnel to effectively implement the ISM Code? (V)? # Has the Master been provided with a signed certificate or declaration, indicating the moisture content, Transportable Moisture Limit (TML) and density? (V & M)? # Is if the solid bulk cargo is not listed in the IMSBC Code, has the Master been provided with a certificate from the shipper, endorsed by the competent authority of the port, stating the characteristics of the cargo and the required conditions for carriage and handling? (V)? # Is if the document of authorisation was not provided, can the master demonstrate the compliance of the ship’s stability with the Grain Code? (V)? # Is if the vessel is carrying cargo under fumigation, are the requirements of the IMO recommendations on safe use of pesticides being met? (V)? # Do on-board safety requirements for fumigation comply with sub-section 3.3.2.7 of the IMO recommendation on the safe use of pesticides? (V)? # Has the master informed the appropriate authorities of the country of destination about the fumigation? (V)? # Is the ro-ro cargo ship provided with an approved Operating and Maintenance Manual (OMM)? (V)? # Is there a procedure for checking the container’s seals and is there documented evidence of compliance? (V)? # Is the verified gross mass communicated in shipping documents sufficiently in advance to the master? (V)?"
1107,Safety management certificate (SMC/ ISM),"(ISM Code) Ship-specific ISM certificate. A missing or invalid SMC usually results in immediate detention, as the ship is deemed not under a compliant safety management regime. ISM failures are the top cause of detentions globall​maritime-mutual.com】. Score 10 reflects that lack of SMC implies systematic safety oversights.","Ensure a valid Safety Management Certificate (SMC) is onboard, including all endorsements. The SMC is valid only if the company holds a valid DoC for the ship type; check that the SMC’s validity does not exceed five years and that intermediate verification has been completed between the second and third anniversaries. If the SMC is expired, withdrawn, or lacks evidence of intermediate verification, the vessel should not operate until a new SMC is issued. The ship type and company details on the SMC must match those on the DoC.",Marine Order 504 changes,"Review and update the safety management system (SMS) to comply with revised Marine Order 504; incorporate simplified risk assessments, fatigue management, drug and alcohol policy, cargo & dangerous goods procedures, operational procedures for key vessel operations, emergency plans (including loss of propulsion and fuel/oil spills), updated master and designated person responsibilities, assembly station requirements, and record of vessel modifications requiring stability risk assessmenthttps://www.amsa.gov.au/news-community/news-and-media-releases/new-safety-management-system-requirements-now-effect",,,,,Has the vessel’s manager established a documented system for personnel to effectively implement the ISM Code? (V)?
1108,Load lines (including Exemption),"(Load Line Convention) Without a valid Load Line certificate, there’s no assurance the ship’s freeboard and loading are safe. Overloading risk is high. PSC treats this as detainable – no Load Line cert = no sail.","Carry a valid International Load Line Certificate and ensure the ship has not undergone material alterations that would invalidate it; maintain the certificate and attachments, and check that the freeboard marks and deck line are correctly positioned and visible.","Marine Orders 16 & 19 updates; MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Verify vessel has a valid load line and tonnage certificate; ensure load line marks are correctly positioned and the vessel is not overloaded; commercial yachts operating as commercial vessels must comply with load line requirements and may need an International Tonnage Certificatehttps://www.amsa.gov.au/news-community/news-and-media-releases/revised-marine-orders-16-and-19-commence-1-september-2025; Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,Any COCs on vessel. Check due dates? # Operating conditon of Loadicator and record of test reports (for all ships)? # Review of MSMP and LMP. Physical verification of mooring winches/system/acessories/ropes/wires for wear and tear and suitability?,"Is the latest Class Survey Status available and are all statutory certificates listed in the Class Survey Status valid, and is the vessel free of condition of class or significant recommendations? # Has the vessel been provided with certificates of financial security for seafarers? # Does the vessel’s manager produce a guideline for under keel clearance and air draft clearance? # Has the vessel been safely navigated in compliance with international and inland regulations? (V)? # Has the vessel been provided with an International Energy Efficiency Certificate? # Is there evidence to show that a detailed mooring plan was exchanged between the delivering and receiving vessels and has the master of the receiving vessel reviewed the type and size of fenders of the delivering vessel? # Is the vessel free of any limitations or restrictions specified in the Loading Manual or Trim and Stability Booklet? (V)? # Is the vessel free of any limitations or restrictions specified in the loading manual or trim and stability booklet? (V)? # Has the vessel been provided with a gas free certificate at the discharge port prior to commencement of discharge operation? (V)? # Is there documented evidence of signing off completed lashing per bay and is all lashing gear used compatible with the lashing plan? (V)? # Has the company established guidelines and procedures for the inspection, maintenance and wear zone management of the mooring lines and are they being implemented? (V & M)? # Are the certificates of mooring lines and mooring tails available on board? (V & M)? # Do mooring lines and mooring tails comply with industry guidelines and are they in good order? (V & M)? # Are the fairleads, rollers, bitts chocks and other items of mooring equipment clearly marked with the relevant SWL? (V)? # If the vessel’s deadweight is 120,000 or more, does it meet the Pilbara Ports Authority (PPA) requirements for towing?"
