_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:09:00.809Z,null,null,null,null,null,Paris Mou,null,Portugal,null,null,1,null,null,null,9710804,Fllet I,12-03-25,PSC,Angelo Craveira,Abhijeetham,Abhijeetham,null,The Ballast water record book Form not updated according to Res. MEPC .369.(80),PT Pertamina International Shipping,Q1 - 2025,Sines,null,Pollution Prevention – Ballast Water,14802,Ballast Water Record Book,null,16,2025PSC140,null,null,null,null,null,Prashanth Arun Ghotke,Saravanan Vaidhyanathan,01-05-25,Gas Ambalat,LPG Carrier,null,null,null,null,null,null,Wet,Gas Carrier,Indonesia,PT Pertamina International Shipping,null,SMPL
2025-04-29T12:09:44.53Z,null,null,null,null,null,AMSA,null,Australia,null,null,1,null,null,null,9282431,null,12-09-24,PSC,Capt. Yan Naing Soe,null,null,"Indian, Filipino",Lock pin inserted at stbd lifeboat release system - not ready for operation,NGM ENERGY GROUP ,Q3 - 2024,Newcastle,null,Life saving appliances,11129,Operational readiness of lifesaving appliances,null,17,2024PSC031,null,null,null,null,null,null,null,01-05-25,MOJO,Bulk Carrier,HYUNDAI SAMHO HEAVY INDUSTRIES  CO. LTD,null,20.33,null,null,null,Dry,Bulk Carrier,Marshall Islands,Nicholas G Moundreas Shipping SA,null,SOPL
2025-04-29T12:10:00.394Z,null,null,null,null,null,Tokyo MoU,null,China,null,null,1,null,null,null,9464596,null,28-03-23,PSC,Suguan Jun Yuxzn,Kohli (Synergy Germany),Capt. Nitin Jaiswal,"India, Romania","One Romanian Crew onboard, but the Complaint procedures onboard not including Romanians contact information",Oldendorff Carriers GMBH & Co KG,Q1 - 2023,Caofeidian,null,Other,99101,Other safety in general,Rosebank Maritime Inc,17,2023PSC010,null,null,null,null,null,Tata M Sarma,Dharmapal Sutar,29-01-24,Penelope Oldendorff,Bulk Carrier,New Times Shipbuilding Co. Ltd,null,14.67,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.415Z,null,null,null,null,null,Paris MOU,null,England,null,null,1,null,null,null,9622916,null,13-04-24,PSC,"Robert Jackson, Andrew Lee",Kohli (Synergy Germany),Capt. Nitin Jaiswal,"India, Romania, Russia",WALKWAY BETWEEN NO 3 & 4 HATCH WASTED. WALKWAY IN NO 1 HATCH DAMAGED,Oldendorff Carriers GMBH & Co KG,Q2 - 2024,Immingham,null,Water/Weathertight condition,3103,"Railing, gangway, walkway and means for safe passage",Catania Shipping Inc.,16,2024PSC016,null,null,null,null,null,Devarayalu Gomatam,Cyril Mathew,03-11-24,Cora Oldendorff,Bulk Carrier,Taizhou CATIC Shipbuilding Heavy Industry Ltd - Taizhou JS,null,13.19,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:09:44.472Z,null,null,null,null,null,Riyadh MOU,null,United Arab Emirates,null,null,1,null,null,null,9346122,null,24-08-23,PSC,Capt. Meyrajuddin Shah ,null,null,Indian,The Fuel Oil purifier laggings were oted damaged. ,BW Group,Q3 - 2023,Al Ruwais,null,Propulsion and auxiliary machinery,13106,Insulation wetted through (oil),BW Global LPG India Private LImited,17,2023PSC010,null,null,null,null,null,null,null,01-05-25,BW Tyr,LPG Carrier,"Hyundai Heavy Industries Ltd, Ulsan Korea",null,17.21,null,null,null,Wet,Gas Carrier,India,BW Group,null,SOPL
2025-04-29T12:09:44.511Z,null,null,null,null,null,Tokyo MoU,null,Indonesia,null,0,0,null,null,null,9589815,null,09-11-23,PSC,Capt. Dedy supriy,null,null,Indian,Nil findings,MOL Group – Mitsui OSK Lines,Q4 - 2023,Tuban,null,0,null,0,MOL India Private LImited,null,2023PSC017,null,null,null,null,null,null,null,01-05-25,Lilac Victoria,Tanker,Minaminippon Ship building Co. Ltd.,null,14.25,null,null,null,Wet,Tanker,India,MOL Group – Mitsui OSK Lines,null,SOPL
2025-04-29T12:09:44.505Z,null,null,null,null,null,Vina del Mar,null,Colombia,null,null,1,null,null,null,9232060,null,29-08-23,PSC,Omar Penagos Vargas,null,null,"Indian, Filipino",Other Marpol - Morethan 15 drums metallic hydraulic oil loaded are storage outside on deck,NGM ENERGY GROUP ,Q3 - 2023,Puerto Bolivar,null,Pollution Prevention - MARPOL Annex II,14199,Other (MARPOL Annex I),Domani Shipping S.A.,17,2023PSC011,null,null,null,null,null,null,null,01-05-25,Etoile,Bulk Carrier,"Sasebo Heavy Industries Co., Ltd ",null,23.93,null,null,null,Dry,Bulk Carrier,Liberia,NGM ENERGY GROUP ,null,SOPL
2025-04-29T12:10:31.501Z,null,null,null,null,null,Tokyo MoU,null,China,null,4,1,null,null,null,9553220,null,18-11-23,PSC,J.J Chen,null,Capt. Feng Bingbing,Chinese,Cargo in hatch NO. 1 & 2 (Nickel Ore) in flow state,EGPN Bulk Carrier Co Limited,Q4 - 2023,Ningde,null,Cargo operation,null,Cargo operations including equipment,EASTERN GARDENIA SHIPPING LIMITED,null,2023PSCSH002,null,null,null,null,null,Tata M Sarma,Mr. Tang Hong,11-11-24,Eastern Gardenia,Bulk Carrier,"COSCO (Zhoushan) Shipyard Co., Ltd.",null,null,null,null,null,Dry,Bulk Carrier,Liberia,EGPN Bulk Carrier Co Limited,null,SMSH
2025-04-29T12:09:57.099Z,null,null,null,null,null,Master Effie Maersk,null,Riyadh MOU,null,0,0,null,null,null,9682978,null,08-10-24,null,Port State Control (2018) 1st Edition (2018),null,null,null,Nil findings,null,Q4 - 2024,Fujairah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01-05-25,Effie Maersk,Tanker,null,null,null,null,null,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:09:57.098Z,null,null,null,null,null,Mediterranean MOU,null,Mediterranean MOU,null,0,0,null,null,null,9431288,null,08-12-24,null,Port State Control (2018) 1st Edition (2018),null,null,null,Nil findings,null,Q4 - 2024,El Dekheila,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01-05-25,Maersk Kaya,Tanker,null,null,null,null,null,null,Wet,Tanker,Singapore,Maersk,null,SDAS
